sid	pair	pair_bad	pair_dup	pair_map	pair_map_hq	pair_map_hq0	pair_map0	pair_orphan	pair_orphan_hq	pair_orphan_hq0	pair_orphan0	pair_unmap	unpair	unpair_bad	unpair_dup	unpair_map	unpair_map_hq	unpair_map_hq0	unpair_map0	unpair_unmap
H2AZ_leaf_R1.stat	0	0	0	0	0	0	0	0	0	0	0	0	27720312	0	0	27489107	15112677	12725576	22948379	231205
H2AZ_leaf_R2.stat	0	0	0	0	0	0	0	0	0	0	0	0	19244569	0	0	19097012	11725190	9778474	15812728	147557
H3_ear_R1.stat	0	0	0	0	0	0	0	0	0	0	0	0	13839214	0	0	13819450	4946465	4614645	12710500	19764
H3_leaf_R1.stat	0	0	0	0	0	0	0	0	0	0	0	0	46473851	0	0	46221782	17405147	13179485	34226291	252069
H3_leaf_R2.stat	0	0	0	0	0	0	0	0	0	0	0	0	15116375	0	0	15040479	5682496	4793604	12399991	75896
H3K27ac_leaf_R1.stat	0	0	0	0	0	0	0	0	0	0	0	0	50574842	0	0	50344950	30531611	26730528	43734490	229892
H3K27ac_leaf_R2.stat	0	0	0	0	0	0	0	0	0	0	0	0	50997068	0	0	50818929	32336068	28133786	43918817	178139
H3K27me3_ear_R1.stat	0	0	0	0	0	0	0	0	0	0	0	0	78949190	0	0	76757074	37468936	35144213	71057450	2192116
H3K27me3_ear_R2.stat	0	0	0	0	0	0	0	0	0	0	0	0	72752421	0	0	71931891	40686882	37397939	65409655	820530
H3K27me3_leaf_R1.stat	0	0	0	0	0	0	0	0	0	0	0	0	24082012	0	0	23979053	10764960	9985775	21907443	102959
H3K27me3_leaf_R2.stat	0	0	0	0	0	0	0	0	0	0	0	0	24029494	0	0	23900450	10560198	9913547	22105789	129044
H3K36me3_ear_R1.stat	0	0	0	0	0	0	0	0	0	0	0	0	41164250	0	0	41005822	27304413	25038846	37406323	158428
H3K36me3_ear_R2.stat	0	0	0	0	0	0	0	0	0	0	0	0	56213892	0	0	55834029	36655057	32263548	48823089	379863
H3K36me3_leaf_R1.stat	0	0	0	0	0	0	0	0	0	0	0	0	49178481	0	0	48966299	34348606	28852709	40780339	212182
H3K36me3_leaf_R2.stat	0	0	0	0	0	0	0	0	0	0	0	0	75348958	0	0	74964823	52455029	44329562	62841937	384135
H3K4me1_leaf_R1.stat	0	0	0	0	0	0	0	0	0	0	0	0	48159343	0	0	47967390	28597290	23999535	39618986	191953
H3K4me1_leaf_R2.stat	0	0	0	0	0	0	0	0	0	0	0	0	48406044	0	0	48214843	27901957	23159088	39295118	191201
H3K4me3_ear_R1.stat	0	0	0	0	0	0	0	0	0	0	0	0	42553954	0	0	42333373	33448685	30418013	38396172	220581
H3K4me3_ear_R2.stat	0	0	0	0	0	0	0	0	0	0	0	0	44264030	0	0	44021014	33303063	28367694	37446077	243016
H3K4me3_leaf_R1.stat	0	0	0	0	0	0	0	0	0	0	0	0	14688200	0	0	14579140	8824927	6227617	10346691	109060
H3K4me3_leaf_R2.stat	0	0	0	0	0	0	0	0	0	0	0	0	14181125	0	0	13824974	7590523	3722213	6868895	356151
H3K56ac_ear_R1.stat	0	0	0	0	0	0	0	0	0	0	0	0	20492099	0	0	20387303	8360940	7819811	18751038	104796
H3K56ac_ear_R2.stat	0	0	0	0	0	0	0	0	0	0	0	0	38577314	0	0	38328443	23351493	21286239	34766852	248871
H3K56ac_leaf_R1.stat	0	0	0	0	0	0	0	0	0	0	0	0	14623609	0	0	14502914	7840800	5609687	10421172	120695
H3K56ac_leaf_R2.stat	0	0	0	0	0	0	0	0	0	0	0	0	30595999	0	0	30375863	16969459	14962154	26587712	220136
H3K9ac_leaf_R1.stat	0	0	0	0	0	0	0	0	0	0	0	0	22992519	0	0	22914958	10433915	9215824	19909231	77561
H3K9ac_leaf_R2.stat	0	0	0	0	0	0	0	0	0	0	0	0	42936103	0	0	42813062	18612669	16260995	36709289	123041
input_ear_R1.stat	0	0	0	0	0	0	0	0	0	0	0	0	33162853	0	0	33096555	12503188	11742145	30460106	66298
input_leaf_R1.stat	0	0	0	0	0	0	0	0	0	0	0	0	22710990	0	0	22589393	8146714	6611647	17873937	121597
input_leaf_R2.stat	0	0	0	0	0	0	0	0	0	0	0	0	20811743	0	0	20701467	7510965	6100926	16441591	110276
