sid	pair	pair_bad	pair_dup	pair_map	pair_map_hq	pair_map_hq0	pair_map0	pair_orphan	pair_orphan_hq	pair_orphan_hq0	pair_orphan0	pair_unmap	unpair	unpair_bad	unpair_dup	unpair_map	unpair_map_hq	unpair_map_hq0	unpair_map0	unpair_unmap
FEA4_R1.stat	0	0	0	0	0	0	0	0	0	0	0	0	3196279	0	0	3080195	1468512	1138130	2310559	116084
FEA4_R2.stat	0	0	0	0	0	0	0	0	0	0	0	0	4178728	0	0	3952058	1989000	1546977	2985730	226670
input_R1.stat	0	0	0	0	0	0	0	0	0	0	0	0	3044709	0	0	3007770	1342151	1132767	2440369	36939
input_R2.stat	0	0	0	0	0	0	0	0	0	0	0	0	3761539	0	0	3710819	1639613	1386336	3009401	50720
