sid	pair	pair_bad	pair_dup	pair_map	pair_map_hq	pair_map_hq0	pair_map0	pair_orphan	pair_orphan_hq	pair_orphan_hq0	pair_orphan0	pair_unmap	unpair	unpair_bad	unpair_dup	unpair_map	unpair_map_hq	unpair_map_hq0	unpair_map0	unpair_unmap
Halo_R1.stat	0	0	0	0	0	0	0	0	0	0	0	0	3634426	0	0	3631043	3083686	2786939	3218847	3383
Halo_R2.stat	0	0	0	0	0	0	0	0	0	0	0	0	3277077	0	0	3274353	2835364	2575035	2917179	2724
Knotted1_HB1_R1.stat	0	0	0	0	0	0	0	0	0	0	0	0	3344804	0	0	3157633	2902121	2123563	2323321	187171
Knotted1_HB1_R2.stat	0	0	0	0	0	0	0	0	0	0	0	0	4144508	0	0	3961248	3574948	2692918	3001511	183260
P1_MYB3_R1.stat	0	0	0	0	0	0	0	0	0	0	0	0	8177181	0	0	8166527	7081306	6399485	7228617	10654
P1_MYB3_R2.stat	0	0	0	0	0	0	0	0	0	0	0	0	6862692	0	0	6854423	5926489	5350546	6059984	8269
RA2_LBD16_R1.stat	0	0	0	0	0	0	0	0	0	0	0	0	2574494	0	0	2566802	2287196	1994691	2146935	7692
RA2_LBD16_R2.stat	0	0	0	0	0	0	0	0	0	0	0	0	2442531	0	0	2435153	2158844	1879509	2034267	7378
