SampleID	Tissue	Genotype	Treatment	group	antibody	control	Replicate	MergeID	paired	acc	spots	avgLength
H4K5ac_B73_R1_T1	seed_4DAP	B73	chip	H4K5ac_B73	H4k5ac	H4k5ac_B73_input	1	m1	TRUE	SRR2995143	9423770	250
H4K5ac_B73_R2_T1	seed_4DAP	B73	chip	H4K5ac_B73	H4k5ac	H4k5ac_B73_input	2	m1	TRUE	SRR2995145	10198700	250
H4K5ac_B73_R3_T1	seed_4DAP	B73	chip	H4K5ac_B73	H4k5ac	H4k5ac_B73_input	3	m1	TRUE	SRR2995146	11874282	250
H4k5ac_B73_input_R1_T1	seed_4DAP	B73	input	H4k5ac_B73_input			1	m2	TRUE	SRR2995149	10428513	250
H4k5ac_B73_input_R2_T1	seed_4DAP	B73	input	H4k5ac_B73_input			2	m2	TRUE	SRR2995150	11286814	250
H4K5ac_hda101_R1_T1	seed_4DAP	hda101	chip	H4K5ac_hda101	H4k5ac	H4K5ac_hda101_input	1	m3	TRUE	SRR2995152	11148111	250
H4K5ac_hda101_R2_T1	seed_4DAP	hda101	chip	H4K5ac_hda101	H4k5ac	H4K5ac_hda101_input	2	m3	TRUE	SRR2995154	10830431	250
H4K5ac_hda101_R3_T1	seed_4DAP	hda101	chip	H4K5ac_hda101	H4k5ac	H4K5ac_hda101_input	3	m3	TRUE	SRR2995156	9021425	250
H4K5ac_hda101_input_R1_T1	seed_4DAP	hda101	input	H4K5ac_hda101_input			1	m4	TRUE	SRR2995157	12676350	250
H4K5ac_hda101_input_R2_T1	seed_4DAP	hda101	input	H4K5ac_hda101_input			2	m4	TRUE	SRR2995158	13108890	250
HDA101_B73_R1_T1	seed_4DAP	B73	chip	HDA101_B73	HDA101	HDA101_B73_input	1	m5	TRUE	SRR2995159	9862018	200
HDA101_B73_R2_T1	seed_4DAP	B73	chip	HDA101_B73	HDA101	HDA101_B73_input	2	m5	TRUE	SRR2995160	20315137	200
HDA101_B73_input_R1_T1	seed_4DAP	B73	input	HDA101_B73_input			1	m6	TRUE	SRR2995161	12217650	200
HDA101_B73_input_R2_T1	seed_4DAP	B73	input	HDA101_B73_input			2	m6	TRUE	SRR2995162	12398652	200
HDA101_hda101_R1_T1	seed_4DAP	hda101	chip	HDA101_hda101	HDA101	HDA101_hda101_input	1	m3	TRUE	SRR2995163	5298468	200
HDA101_hda101_input_R1_T1	seed_4DAP	hda101	input	HDA101_hda101_input			1	m4	TRUE	SRR2995164	11567045	200
HDA101_hda101_R2_T1	seed_4DAP	hda101	chip	HDA101_hda101	HDA101	HDA101_hda101_input	2	m3	TRUE	SRR2995165	11138888	200
HDA101_hda101_input_R2_T1	seed_4DAP	hda101	input	HDA101_hda101_input			2	m4	TRUE	SRR2995166	13630404	200
