sid	pair	pair_bad	pair_dup	pair_map	pair_map_hq	pair_map_hq0	pair_map0	pair_orphan	pair_orphan_hq	pair_orphan_hq0	pair_orphan0	pair_unmap	unpair	unpair_bad	unpair_dup	unpair_map	unpair_map_hq	unpair_map_hq0	unpair_map0	unpair_unmap
o2_R1.stat	32979547	0	0	28631813	20598658	18047022	24677950	404692	187673	166927	342270	3943042	0	0	0	0	0	0	0	0
O2_R1.stat	38031161	0	0	35294463	25716112	22588031	30463083	337600	151947	133756	283431	2399098	0	0	0	0	0	0	0	0
o2_R2.stat	25390890	0	0	21885221	15495704	13516514	18762348	311227	140418	123796	261433	3194442	0	0	0	0	0	0	0	0
O2_R2.stat	27902598	0	0	25009305	18142393	15748349	21373677	297525	139832	122345	247513	2595768	0	0	0	0	0	0	0	0
