sid	pair	pair_bad	pair_dup	pair_map	pair_map_hq	pair_map_hq0	pair_map0	pair_orphan	pair_orphan_hq	pair_orphan_hq0	pair_orphan0	pair_unmap	unpair	unpair_bad	unpair_dup	unpair_map	unpair_map_hq	unpair_map_hq0	unpair_map0	unpair_unmap
bZIP22_R1.stat	16636155	0	0	16273237	10995110	4575286	6004791	226035	110349	43521	79148	136883	0	0	0	0	0	0	0	0
bZIP22_R2.stat	25809153	0	0	25400500	17200535	8171549	10733183	212180	103833	37576	68837	196473	0	0	0	0	0	0	0	0
IgG_R1.stat	20056209	0	0	19620246	13369956	6115634	8031829	225780	111572	46378	83603	210183	0	0	0	0	0	0	0	0
IgG_R2.stat	17334849	0	0	17032996	11626945	5994582	7890679	124013	61759	24416	43773	177840	0	0	0	0	0	0	0	0
