SampleID	Tissue	Genotype	Treatment	group	antibody	control	Replicate	paired	acc	spots	avgLength
Halo_R1_T1			Halo	Halo			1	FALSE	s01	30732856	50
Halo_R2_T1			Halo	Halo			2	FALSE	s02	26653722	50
RA2_LBD16_R1_T1			RA2_LBD16	RA2_LBD16	RA2_LBD16	Halo	1	FALSE	s03	27677646	150
RA2_LBD16_R2_T1			RA2_LBD16	RA2_LBD16	RA2_LBD16	Halo	2	FALSE	s04	25629877	150
Knotted1_HB1_R1_T1			Knotted1_HB1	Knotted1_HB1	Knotted1_HB1	Halo	1	FALSE	s05	29602165	150
Knotted1_HB1_R2_T1			Knotted1_HB1	Knotted1_HB1	Knotted1_HB1	Halo	2	FALSE	s06	35705766	150
P1_MYB3_R1_T1			P1_MYB3	P1_MYB3	P1_MYB3	Halo	1	FALSE	s07	62366150	50
P1_MYB3_R2_T1			P1_MYB3	P1_MYB3	P1_MYB3	Halo	2	FALSE	s08	54628149	50
CPP8_R1_T1			CPP8	CPP8	CPP8	Halo	1	FALSE	s09	64806984	50
CPP8_R2_T1			CPP8	CPP8	CPP8	Halo	2	FALSE	s10	41928417	50
EREB6_R1_T1			EREB6	EREB6	EREB6	Halo	1	FALSE	s11	79454392	50
EREB6_R2_T1			EREB6	EREB6	EREB6	Halo	2	FALSE	s12	62800915	50
